2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
30	70	64	59	57	53	52	77	-	47	18	-	0	30	-	29.89	-	0	-
31	69	65	61	56	53	51	73	-	44	16	-	0	30.04	-	29.92	-	0	-
2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Nov	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	69	66	63	56	54	51	77	-	44	18	-	0	30.06	-	29.92	-	0	-
2	68	65	62	55	53	50	73	-	43	18	-	4	30.06	-	29.95	-	0	-
3	69	66	62	55	53	50	77	-	43	22	-	6	30.08	-	29.92	-	0	-
4	68	64	61	55	52	48	77	-	45	21	-	0	30.04	-	29.89	-	0	-
5	68	65	62	56	53	51	77	-	46	15	-	2	30.04	-	29.95	-	0	-
6	68	65	62	55	55	52	77	-	48	20	-	5	30.05	-	29.92	-	0	-
7	69	65	61	57	55	54	77	-	49	20	-	0	30.06	-	29.92	-	0	-
8	70	66	63	59	57	55	83	-	54	16	-	0	30.04	-	29.89	-	0	-
9	72	67	62	59	56	52	82	-	42	12	-	0	30.01	-	29.92	-	0	-
10	72	67	62	59	56	52	82	-	44	21	-	0	30.03	-	29.89	-	0	-
11	71	66	60	57	54	52	77	-	44	17	-	0	30.01	-	29.92	-	0	-
12	73	68	63	57	53	51	77	-	36	16	-	4	30.04	-	29.95	-	0	-
13	72	66	61	59	55	52	88	-	43	17	-	1	30.04	-	29.95	-	0	-
14	73	66	60	56	53	50	77	-	39	10	-	0	30.09	-	29.98	-	0	-
15	73	66	60	57	52	46	68	-	38	21	-	0	30.11	-	29.98	-	0	-
16	70	64	59	59	56	51	77	-	53	24	-	0	30.09	-	29.92	-	0	-
17	72	66	59	57	55	52	77	-	52	23	-	0	30.02	-	29.92	-	0	-
18	71	66	60	59	54	52	83	-	45	20	-	2	30.06	-	29.95	-	0	-
19	71	68	64	57	55	52	77	-	45	17	-	5	30.07	-	29.98	-	0	-
20	71	68	65	57	54	52	73	-	41	22	-	6	30.09	-	30	-	0	-
21	70	66	62	55	52	50	73	-	41	21	-	2	30.06	-	29.95	-	0	-
22	70	65	60	57	53	50	73	-	47	18	-	1	30.05	-	29.95	-	0	-
23	70	65	60	57	54	52	73	-	47	17	-	0	30.04	-	29.92	-	0	-
24	70	66	61	57	54	52	73	-	46	18	-	0	30.01	-	29.92	-	0	-
25	70	66	62	56	54	52	73	-	46	16	-	0	30.06	-	29.95	-	0	-
26	72	68	63	57	55	52	77	-	45	20	-	0	30.04	-	29.95	-	0	-
27	70	67	64	59	55	52	73	-	45	17	-	4	30.05	-	29.92	-	0	-
28	72	68	64	57	55	54	77	-	47	25	-	4	30.03	-	29.86	-	0	-
29	68	66	63	57	54	52	77	-	50	24	-	6	30.01	-	29.92	-	0	-
30	69	66	62	55	53	50	73	-	45	18	-	1	30.03	-	29.92	-	0	-
2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Dec	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	70	66	62	55	53	52	73	-	45	17	-	0	30.01	-	29.92	-	0	-
2	69	66	63	57	54	52	73	-	46	21	-	6	30	-	29.83	-	0	-
3	69	66	62	55	53	51	73	-	49	15	-	0	29.92	-	29.8	-	0	-
4	70	66	62	57	55	54	73	-	51	16	-	1	30.01	-	29.92	-	0	-
5	70	65	60	59	56	52	78	-	51	17	-	4	30.06	-	29.95	-	0	-
6	71	67	63	59	56	54	78	-	46	20	-	4	30.09	-	29.92	-	0	-
7	71	68	65	57	55	52	73	-	42	14	-	0	30.02	-	29.86	-	0	-
8	72	69	66	59	56	54	78	-	47	21	-	0	29.98	-	29.83	-	0	-
9	73	70	66	59	57	54	78	-	40	14	-	0	30.01	-	29.92	-	0	-
10	74	70	65	59	55	34	73	-	25	15	-	0	30.04	-	29.95	-	0	-
11	72	67	62	61	58	52	78	-	54	23	-	0	30.08	-	29.95	-	0	-
12	73	68	64	61	59	55	83	-	52	18	-	0	30.06	-	29.98	-	0	-
13	72	70	67	61	58	55	78	-	46	20	-	6	30.09	-	29.92	-	0	-
14	71	68	65	61	59	57	78	-	60	17	-	5	30.01	-	29.92	-	0	-
15	74	70	65	61	59	55	83	-	49	25	-	4	30.04	-	29.95	-	0	-
16	72	66	61	59	56	54	82	-	44	22	-	2	30.09	-	29.98	-	0	-
17	71	68	65	59	55	53	78	-	46	15	-	4	30.11	-	29.98	-	0	-
18	72	67	62	57	56	54	73	-	47	17	-	0	30.09	-	29.95	-	0	-
19	71	66	62	59	55	52	68	-	46	16	-	6	30.04	-	29.92	-	0	-
20	72	68	64	61	56	53	78	-	47	17	-	2	30.01	-	29.92	-	0	-
21	72	68	65	61	57	52	83	-	49	22	-	5	30.04	-	29.95	-	0	-
22	72	66	61	57	55	52	77	-	47	21	-	4	30.05	-	29.92	-	0	-
23	71	67	63	59	56	52	73	-	44	18	-	0	30.01	-	29.89	-	0	-
24	71	66	61	59	56	54	78	-	47	15	-	5	29.98	-	29.86	-	0	-
25	72	68	63	59	56	54	73	-	46	14	-	0	30.01	-	29.86	-	0	-
26	73	69	65	60	57	54	78	-	44	20	-	0	30.03	-	29.89	-	0	-
27	73	70	66	59	57	55	73	-	48	24	-	2	30.03	-	29.86	-	0	-
28	73	69	65	59	58	55	78	-	44	17	-	4	30.04	-	29.89	-	0	-
29	73	70	66	57	56	54	73	-	44	21	-	4	30.06	-	29.95	-	0	-
30	73	68	62	61	56	52	77	-	47	18	-	0	30.04	-	29.89	-	0	-
31	74	69	64	61	57	54	78	-	44	21	-	0	30.01	-	29.86	-	0	-
2015	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Jan	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	72	67	62	61	58	55	78	-	55	24	-	5	29.98	-	29.83	-	0	-
2	73	70	67	60	57	55	73	-	44	13	-	0	29.99	-	29.83	-	0	-
3	74	71	68	61	58	55	73	-	44	21	-	1	29.98	-	29.83	-	0	-
4	74	70	67	61	58	55	78	-	47	17	-	4	29.98	-	29.89	-	0	-
5	74	70	65	63	59	55	83	-	51	20	-	2	29.98	-	29.83	-	0	-
6	73	68	64	63	59	56	73	-	47	17	-	4	29.98	-	29.88	-	0	-
7	73	70	66	61	58	55	78	-	47	25	-	5	29.96	-	29.77	-	0	-
8	73	70	66	59	58	55	73	-	48	17	-	2	29.93	-	29.8	-	0	-
9	75	72	69	60	57	55	68	-	44	18	-	2	29.98	-	29.86	-	0	-
10	74	70	65	61	59	57	78	-	50	23	-	0	30	-	29.89	-	0	-
11	73	69	65	61	58	55	78	-	50	18	-	0	30.01	-	29.83	-	0	-
12	73	70	66	61	57	54	78	-	45	13	-	2	29.98	-	29.89	-	0	-
13	73	70	66	61	57	55	78	-	48	17	-	0	29.98	-	29.89	-	0	-
14	74	70	65	61	57	54	73	-	42	22	-	0	30.01	-	29.89	-	0	-
15	74	68	63	61	58	55	83	-	48	21	-	0	30.01	-	29.89	-	0	-
16	73	68	64	61	57	55	73	-	49	14	-	5	30.06	-	29.95	-	0	-
17	74	70	66	60	57	55	73	-	46	14	-	2	30.06	-	29.92	-	0	-
18	74	71	68	61	58	53	73	-	37	17	-	0	30.06	-	29.95	-	0	-
19	74	70	66	62	58	54	78	-	45	20	-	0	30.09	-	29.95	-	0	-
20	74	70	65	61	59	55	73	-	50	22	-	0	30.05	-	29.92	-	0	-
21	74	70	66	61	59	54	83	-	39	22	-	0	30.04	-	29.89	-	0	-
22	74	67	60	61	59	55	82	-	53	22	-	0	30.09	-	29.89	-	0	-
23	74	70	67	63	59	57	73	-	44	16	-	1	30.03	-	29.92	-	0	-
24	75	70	65	61	58	55	73	-	50	15	-	0	29.99	-	29.89	-	0	-
25	75	70	66	59	57	55	73	-	40	16	-	0	30.01	-	29.83	-	0	-
26	76	71	66	63	58	55	78	-	47	20	-	0	29.94	-	29.83	-	0	-
27	77	73	69	61	59	57	73	-	40	15	-	0	29.98	-	29.89	-	0	-
28	77	73	69	63	59	55	73	-	44	21	-	0	30	-	29.83	-	0	-
29	76	71	66	64	61	55	78	-	51	20	-	2	29.95	-	29.86	-	0	-
30	77	72	67	64	62	60	83	-	52	20	-	0	29.97	-	29.86	-	0	-
31	76	72	68	63	60	57	78	-	46	20	-	7	30.01	-	29.83	-	0	-
2015	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Feb	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	76	72	67	64	61	59	73	-	50	22	-	4	29.98	-	29.86	-	0	-
2	76	71	66	64	61	59	88	-	52	20	-	1	30.15	-	29.86	-	0	-
3	77	70	64	63	61	55	78	-	43	15	-	0	29.96	-	29.8	-	0	-
4	78	74	70	64	61	58	73	-	43	16	-	0	29.91	-	29.8	-	0	-
5	78	74	69	63	61	59	73	-	46	21	-	0	29.92	-	29.83	-	0	-
6	78	74	70	64	62	61	78	-	45	22	-	7	29.96	-	29.86	-	0	-
7	80	74	68	64	60	55	78	-	38	21	-	6	30.01	-	29.91	-	0	-
8	80	74	69	66	61	57	83	-	39	24	-	4	29.98	-	29.86	-	0	-
9	81	69	57	66	63	48	83	-	45	20	-	4	30.06	-	29.89	-	0	-
10	80	74	68	66	62	59	78	-	40	28	-	0	30.01	-	29.88	-	0	-
11	81	76	70	64	61	59	73	-	45	28	-	0	29.99	-	29.86	-	0	-
12	79	72	66	64	62	59	78	-	46	28	-	4	30	-	29.83	-	0	-
13	79	73	67	64	62	59	78	-	52	16	-	0	29.95	-	29.86	-	0	-
14	81	76	70	63	61	59	73	-	37	17	-	0	30	-	29.86	-	0	-
15	79	73	67	63	61	59	78	-	46	18	-	0	29.98	-	29.86	-	0	-
16	77	72	67	64	60	57	73	-	46	21	-	0	29.97	-	29.83	-	0	-
17	77	72	67	64	61	57	78	-	49	20	-	0	29.95	-	29.83	-	0	-
18	79	74	68	63	61	59	83	-	48	17	-	0	29.98	-	29.86	-	0	-
19	83	68	53	63	57	43	69	-	30	12	-	0	30	-	29.83	-	0	-
20	81	76	70	61	56	54	57	-	32	21	-	0	29.96	-	29.86	-	0	-
21	80	65	50	63	60	39	66	-	40	24	-	0	29.97	-	29.83	-	0	-
22	77	72	67	65	62	59	83	-	52	28	-	6	29.99	-	29.89	-	0	-
23	77	72	66	63	61	59	83	-	52	25	-	0	29.97	-	29.89	-	0	-
24	75	70	64	61	59	34	83	-	30	24	-	0	30.06	-	29.83	-	0	-
25	76	70	64	61	57	54	83	-	40	21	-	2	29.96	-	29.83	-	0	-
26	78	72	65	57	55	45	87	-	38	18	-	0	30.18	-	29.87	-	0	-
27	81	74	66	61	57	55	73	-	35	17	-	0	29.98	-	29.89	-	0	-
28	78	72	67	61	59	57	73	-	40	23	-	0	29.98	-	29.89	-	0	-
2015	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Mar	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	76	71	64	63	60	57	83	-	49	24	-	0	30	-	29.86	-	0	-
2	76	70	64	61	59	34	83	-	46	20	-	0	29.99	-	29.3	-	0	-
3	75	70	65	61	58	55	78	-	46	17	-	0	29.96	-	29.86	-	0	-
4	75	68	62	59	57	45	73	-	47	23	-	0	29.94	-	29.42	-	0	-
5	74	68	63	68	57	54	94	-	47	17	-	0	30.06	-	29.83	-	0	-
6	73	68	64	59	56	9	83	-	9	16	-	4	29.98	-	29.89	-	0	-
7	74	70	65	61	58	55	78	-	48	21	-	6	30.09	-	29.83	-	0	-
8	73	68	64	59	58	55	78	-	50	17	-	0	29.93	-	29.8	-	0	-
9	74	70	65	59	58	55	73	-	47	17	-	5	29.86	-	29.77	-	0	-
10	75	70	66	63	59	57	78	-	52	14	-	0	29.84	-	29.74	-	0	-
11	77	72	67	63	61	59	78	-	48	16	-	4	29.89	-	29.77	-	0	-
12	80	74	67	62	60	59	78	-	39	18	-	5	29.9	-	29.74	-	0	-
13	81	74	68	66	59	57	78	-	40	15	-	0	30.12	-	29.8	-	0	-
14	79	74	68	61	59	57	73	-	40	17	-	6	29.91	-	29.8	-	0	-
15	78	72	67	63	60	57	73	-	49	17	-	0	29.93	-	29.8	-	0	-
16	83	76	69	63	60	58	78	-	36	23	-	0	29.96	-	29.83	-	0	-
17	81	76	70	63	60	57	73	-	38	20	-	6	29.95	-	29.86	-	0	-
18	81	74	68	63	60	43	73	-	38	18	-	8	29.98	-	29.86	-	0	-
19	79	74	69	66	63	59	78	-	52	21	-	6	29.98	-	29.88	-	0	-
20	82	75	68	65	62	60	78	-	39	22	-	4	30.06	-	29.92	-	0	-
21	80	74	69	64	62	60	73	-	46	15	-	4	30.04	-	29.92	-	0	-
22	78	74	71	67	64	61	78	-	51	12	-	0	29.98	-	29.89	-	0	-
23	79	76	73	68	64	54	78	-	39	10	-	0	30.03	-	29.92	-	0	-
24	81	77	73	70	66	63	83	-	55	15	-	0	30.01	-	29.89	-	0	-
25	80	74	69	70	67	64	94	-	65	12	-	5	30.01	-	29.8	-	0	-
26	81	75	69	70	63	43	94	-	28	22	-	2	30.01	-	29.89	-	0	-
27	81	74	68	63	60	55	78	-	39	25	-	0	30.01	-	29.92	-	0	-
28	76	71	66	65	61	54	78	-	54	20	-	6	30.06	-	29.98	-	0	-
29	77	70	64	63	59	55	78	-	47	17	-	0	30.04	-	29.92	-	0	-
30	78	74	69	61	58	57	68	-	38	17	-	0	30.05	-	29.98	-	0	-
31	77	70	64	63	58	46	73	-	46	20	-	2	30.12	-	29.92	-	0	-
2015	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Apr	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	76	70	64	63	59	55	83	-	50	18	-	0	30.01	-	29.89	-	0	-
2	76	70	64	63	60	57	78	-	49	22	-	0	30.01	-	29.89	-	0	-
3	75	70	65	61	59	57	73	-	44	21	-	4	30.01	-	29.86	-	0	-
4	75	70	65	61	59	55	78	-	46	13	-	0	29.94	-	29.86	-	0	-
5	75	70	66	59	57	55	68	-	42	14	-	4	29.95	-	29.86	-	0	-
6	74	68	63	63	58	54	78	-	51	13	-	0	29.97	-	29.83	-	0	-
7	75	70	66	63	60	57	73	-	55	21	-	1	29.95	-	29.77	-	0	-
8	74	69	64	61	59	57	78	-	54	16	-	2	29.93	-	29.83	-	0	-
9	73	60	48	61	59	48	100	-	52	16	-	0	30.12	-	29.83	-	0	-
10	73	68	64	59	58	57	77	-	48	8	-	0	29.96	-	29.88	-	0	-
11	74	70	65	63	60	55	83	-	55	18	-	2	29.95	-	29.8	-	0	-
12	74	68	63	64	61	57	83	-	54	14	-	0	29.99	-	29.86	-	0	-
13	75	70	65	64	60	59	88	-	49	15	-	0	30.02	-	29.92	-	0	-
14	74	69	64	63	60	57	77	-	56	16	-	0	30.01	-	29.89	-	0	-
15	76	72	68	61	59	45	78	-	45	16	-	5	30.06	-	29.89	-	0	-
16	75	70	66	59	58	57	78	-	44	16	-	0	30.06	-	29.95	-	0	-
17	74	61	48	61	57	46	93	-	48	15	-	0	30.04	-	29.92	-	0	-
18	74	70	67	60	58	57	73	-	47	8	-	0	30.01	-	29.89	-	0	-
19	74	71	68	61	58	57	78	-	45	12	-	0	30.01	-	29.89	-	0	-
20	75	71	66	61	58	55	73	-	46	15	-	0	30.03	-	29.92	-	0	-
21	72	66	61	59	57	54	77	-	49	16	-	2	30.04	-	29.92	-	0	-
22	71	68	64	59	56	55	78	-	48	20	-	0	29.98	-	29.86	-	0	-
23	70	66	62	59	57	55	78	-	48	17	-	0	29.98	-	29.89	-	0	-
24	70	65	60	61	57	52	78	-	54	13	-	0	30.04	-	29.92	-	0	-
25	73	70	66	61	57	54	78	-	46	14	-	1	29.99	-	29.89	-	0	-
26	71	67	63	59	56	54	73	-	50	16	-	0	29.98	-	29.89	-	0	-
27	71	66	62	59	56	54	77	-	51	15	-	0	29.95	-	29.83	-	0	-
28	71	66	62	57	55	53	73	-	50	13	-	0	29.94	-	29.86	-	0	-
29	74	68	61	59	56	52	88	-	48	15	-	0	30.01	-	29.89	-	0	-
30	72	67	62	63	58	55	83	-	51	12	-	0	30.09	-	29.86	-	0	-
2015	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
May	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	73	68	62	61	59	55	82	-	50	15	-	0	30.01	-	29.89	-	0	-
2	72	67	62	61	59	55	82	-	55	13	-	0	29.99	-	29.89	-	0	-
3	73	68	64	61	58	55	83	-	46	21	-	2	30.01	-	29.89	-	0	-
4	70	66	63	59	57	55	83	-	54	13	-	0	30.04	-	29.92	-	0	-
5	70	67	64	59	56	54	73	-	54	13	-	2	30.04	-	29.89	-	0	-
6	70	67	64	57	56	55	73	-	50	10	-	0	29.97	-	29.86	-	0	-
7	73	69	64	59	56	54	73	-	49	15	-	0	29.99	-	29.86	-	0	-
8	73	65	57	61	57	50	83	-	51	20	-	0	30.01	-	29.77	-	0	-
9	70	67	64	59	56	54	78	-	53	20	-	1	29.99	-	29.92	-	0	-
10	69	66	63	59	56	55	78	-	55	14	-	0	29.95	-	29.86	-	0	-
11	68	66	64	57	56	54	73	-	55	10	-	2	29.98	-	29.86	-	0	-
12	68	66	65	55	54	52	68	-	48	13	-	0	29.97	-	29.89	-	0	-
13	71	61	51	64	55	50	94	-	44	14	-	0	30.15	-	29.86	-	0	-
14	71	68	66	57	54	52	73	-	43	13	-	0	30.02	-	29.92	-	0	-
15	71	68	64	58	55	53	73	-	48	15	-	2	30.01	-	29.92	-	0	-
16	69	66	63	58	56	50	77	-	53	15	-	0	30.06	-	29.95	-	0	-
17	70	66	61	59	56	52	77	-	55	20	-	4	30.08	-	29.98	-	0	-
18	70	66	61	61	58	55	83	-	58	23	-	1	30.07	-	29.98	-	0	-
19	70	66	61	61	57	55	82	-	54	16	-	0	30.06	-	29.92	-	0	-
20	70	67	64	59	56	53	78	-	52	18	-	0	30.05	-	29.89	-	0	-
21	69	67	65	58	55	53	73	-	49	16	-	0	30.05	-	29.95	-	0	-
22	70	68	64	55	54	52	68	-	45	12	-	0	30.07	-	29.95	-	0	-
23	71	67	63	59	56	52	73	-	48	16	-	0	30.08	-	29.98	-	0	-
24	71	68	64	61	57	53	78	-	46	16	-	0	30.05	-	29.95	-	0	-
25	69	64	60	59	55	52	78	-	54	14	-	0	30.08	-	29.92	-	0	-
26	69	66	64	61	58	55	78	-	61	20	-	0	30.05	-	29.98	-	0	-
27	69	64	60	59	56	54	82	-	57	17	-	2	30.04	-	29.95	-	0	-
28	67	65	63	57	56	54	77	-	57	10	-	0	30.07	-	29.95	-	0	-
29	69	66	64	56	54	52	73	-	48	15	-	0	30.06	-	29.95	-	0	-
30	69	66	64	55	52	51	73	-	43	13	-	0	30.07	-	29.98	-	0	-
31	67	65	63	54	52	50	68	-	48	15	-	0	30.12	-	30.01	-	0	-
2015	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Jun	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	67	64	62	55	52	50	77	-	49	17	-	0	30.1	-	29.98	-	0	-
2	65	62	60	54	53	52	72	-	56	10	-	0	30.09	-	29.89	-	0	-
3	67	64	61	54	52	50	68	-	47	14	-	0	30.02	-	29.89	-	0	-
4	67	65	63	55	53	52	73	-	53	9	-	0	30.01	-	29.92	-	0	-
5	69	66	63	55	53	52	68	-	48	10	-	0	30.04	-	29.95	-	0	-
6	70	66	62	54	52	50	68	-	44	10	-	2	30.04	-	29.95	-	0	-
7	69	64	59	54	52	48	68	-	43	10	-	0	30.06	-	29.98	-	0	-
8	71	66	61	58	54	50	77	-	44	12	-	4	30.07	-	29.98	-	0	-
9	68	63	58	58	55	51	88	-	58	13	-	4	30.12	-	29.95	-	0	-
10	68	64	61	55	53	52	77	-	49	13	-	2	30.09	-	30	-	0	-
11	66	62	58	57	54	50	77	-	57	13	-	4	30.06	-	29.98	-	0	-
12	66	64	61	55	54	52	77	-	55	10	-	2	30.09	-	29.98	-	0	-
13	68	65	62	57	54	51	77	-	47	15	-	0	30.09	-	29.98	-	0	-
14	67	64	62	54	52	50	68	-	46	15	-	4	30.06	-	29.95	-	0	-
15	65	64	62	54	52	50	68	-	51	10	-	0	30.01	-	29.89	-	0	-
16	68	65	62	54	52	50	72	-	48	13	-	0	30.04	-	29.92	-	0	-
17	66	64	61	55	53	48	73	-	52	22	-	4	30.04	-	29.95	-	0	-
18	64	62	60	54	53	50	77	-	53	14	-	0	29.97	-	29.83	-	0	-
19	66	55	44	55	53	43	93	-	56	12	-	2	29.98	-	29.86	-	0	-
20	67	64	62	55	54	53	77	-	53	9	-	0	30	-	29.89	-	0	-
21	67	65	63	55	54	53	73	-	57	14	-	1	30.01	-	29.89	-	0	-
22	66	63	60	56	54	51	73	-	53	13	-	0	30.02	-	29.92	-	0	-
23	67	63	59	57	54	50	82	-	56	21	-	0	30.01	-	29.86	-	0	-
24	67	64	62	57	55	54	82	-	55	18	-	0	30.05	-	29.92	-	0	-
25	67	64	60	57	54	52	77	-	55	18	-	0	30.01	-	29.86	-	0	-
26	66	64	62	56	54	53	77	-	54	8	-	0	29.98	-	29.86	-	0	-
27	66	64	63	57	55	52	77	-	53	9	-	0	30.05	-	29.95	-	0	-
28	67	64	62	57	54	51	77	-	49	16	-	2	30.04	-	29.92	-	0	-
29	66	64	62	56	54	50	73	-	48	13	-	2	30.04	-	29.98	-	0	-
30	64	62	60	55	53	50	73	-	56	14	-	0	30.07	-	29.92	-	0	-
2015	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Jul	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	66	64	62	54	52	50	72	-	49	10	-	0	30.06	-	29.95	-	0	-
2	67	64	61	55	52	50	77	-	51	17	-	2	30.04	-	29.92	-	0	-
3	66	64	61	55	53	50	77	-	55	13	-	2	29.98	-	29.86	-	0	-
4	66	63	60	56	54	53	77	-	62	16	-	4	29.99	-	29.86	-	0	-
5	64	62	59	54	51	48	72	-	53	12	-	1	30.09	-	29.95	-	0	-
6	66	63	60	52	49	48	72	-	45	9	-	2	30.14	-	30.04	-	0	-
7	66	60	55	55	51	46	82	-	52	17	-	0	30.12	-	30.01	-	0	-
8	65	62	59	54	52	50	72	-	52	14	-	0	30.09	-	29.92	-	0	-
9	65	62	59	54	52	50	77	-	51	13	-	0	30.06	-	29.95	-	0	-
10	65	61	57	54	52	50	77	-	54	13	-	0	30.08	-	29.98	-	0	-
11	63	60	57	52	50	48	72	-	52	10	-	2	30.05	-	29.95	-	0	-
12	64	62	60	50	49	48	68	-	47	9	-	0	30.11	-	30.04	-	0	-
13	65	62	60	48	47	45	63	-	38	9	-	0	30.16	-	30.04	-	0	-
14	66	62	59	56	50	43	77	-	43	17	-	4	30.17	-	30.06	-	0	-
15	64	57	50	55	52	48	94	-	57	18	-	4	30.15	-	30.06	-	0	-
16	63	59	55	52	51	48	77	-	56	14	-	0	30.14	-	30.04	-	0	-
17	63	61	59	52	50	48	72	-	52	13	-	2	30.09	-	29.98	-	0	-
18	63	61	59	52	50	48	72	-	55	12	-	0	30.11	-	30.01	-	0	-
19	63	60	57	50	49	48	68	-	49	14	-	0	30.18	-	30.06	-	0	-
20	64	60	57	52	49	46	72	-	47	16	-	0	30.18	-	30.01	-	0	-
21	64	62	60	55	52	49	82	-	51	10	-	2	30.13	-	30.04	-	0	-
22	65	61	57	55	51	48	77	-	54	20	-	0	30.13	-	30.04	-	0	-
23	65	60	56	55	53	51	82	-	59	18	-	4	30.06	-	29.98	-	0	-
24	64	62	59	54	52	51	77	-	56	12	-	2	30.07	-	29.95	-	0	-
25	64	61	58	54	52	50	77	-	56	16	-	0	30.04	-	29.83	-	0	-
26	62	60	59	54	51	49	77	-	55	12	-	0	30.04	-	29.92	-	0	-
27	64	60	56	52	49	46	72	-	50	14	-	0	30.04	-	29.92	-	0	-
28	64	62	59	54	51	48	77	-	51	10	-	2	30.02	-	29.89	-	0	-
29	66	63	60	52	51	48	72	-	48	12	-	0	30.02	-	29.95	-	0	-
30	67	64	61	55	51	50	77	-	44	13	-	2	30.1	-	29.98	-	0	-
31	63	60	57	54	51	48	77	-	56	13	-	4	30.09	-	29.95	-	0	-
2015	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Aug	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	64	62	60	52	50	48	72	-	48	10	-	0	30.07	-	29.98	-	0	-
2	63	60	57	51	49	46	68	-	49	10	-	0	30.04	-	29.92	-	0	-
3	63	61	59	52	50	48	72	-	57	9	-	0	29.98	-	29.83	-	0	-
4	64	62	59	53	52	50	77	-	56	15	-	0	29.98	-	29.89	-	0	-
5	64	60	55	54	52	48	77	-	59	13	-	4	30.01	-	29.89	-	0	-
6	64	62	59	54	52	50	77	-	58	15	-	0	29.98	-	29.86	-	0	-
7	64	62	59	54	53	51	72	-	57	14	-	0	30.01	-	29.8	-	0	-
8	63	62	61	55	54	51	77	-	56	13	-	5	30.1	-	30.01	-	0	-
9	64	60	57	59	55	50	100	-	64	21	-	8	30.22	-	30.01	-	0.16	-
10	64	60	55	55	53	49	88	-	54	16	-	0	30.08	-	29.95	-	0	-
11	64	60	55	55	49	46	82	-	46	13	-	0	30.17	-	30.04	-	0	-
12	65	62	59	55	53	50	77	-	55	21	-	2	30.17	-	30.04	-	0	-
13	64	62	59	54	51	48	82	-	51	12	-	0	30.08	-	30.01	-	0	-
14	65	62	58	52	49	46	77	-	45	20	-	0	30.17	-	30.04	-	0	-
15	63	60	57	52	50	48	77	-	54	14	-	0	30.07	-	29.98	-	0	-
16	63	61	59	50	49	46	88	-	45	14	-	0	30.1	-	30.01	-	0	-
17	63	60	57	54	51	48	77	-	57	17	-	4	30.12	-	29.98	-	0	-
18	62	60	59	52	52	50	77	-	58	8	-	0	30.07	-	29.95	-	0	-
19	64	62	60	54	52	50	77	-	56	14	-	1	30.04	-	29.92	-	0	-
20	64	60	56	54	53	50	82	-	58	17	-	4	30.06	-	29.89	-	0	-
21	64	62	60	54	52	51	77	-	59	16	-	4	30.07	-	29.95	-	0	-
22	64	62	60	54	52	50	77	-	50	14	-	4	30.08	-	29.95	-	0	-
23	63	61	59	54	52	50	77	-	57	14	-	2	30.01	-	29.89	-	0	-
24	64	62	59	54	52	50	72	-	56	10	-	2	30.04	-	29.92	-	0	-
25	66	63	60	54	52	50	72	-	52	16	-	2	30.09	-	29.98	-	0	-
26	65	60	56	54	51	47	77	-	52	17	-	0	30.06	-	29.92	-	0	-
27	64	61	58	54	52	50	77	-	57	14	-	0	30.06	-	29.95	-	0	-
