#Gene product	SG1-2015-06-1	SG1-N-2013-04-2	SG1-2015-06-3	SG1-2015-06-2	SG1-2015-06-5	SG1-2015-06-4	SG1-N-2013-04-4	SG1-N-2013-04-3	SG1-N-2013-04-1	SG1-N-2017-02-5	SG1-N-2017-02-1	SG1-N-2017-02-2	SG1-N-2015-12-1	SG1-N-2015-12-3	SG1-N-2013-04-5	SG1-N-2015-12-5	SG1-N-2015-12-4	SG1-2014-09-5	SG1-2014-09-4	SG1-2014-09-1	SG1-2014-09-3	SG1-2014-09-2	SG1-N-2017-02-3	SG1-N-2015-12-2	SG1-2017-02-5	SG1-2017-02-4	SG1-2017-02-3	SG1-2017-02-2	SG1-2017-02-1	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-N-2017-02-4
D-tagatose-1%2C6-bisphosphate aldolase subunit KbaZ	13.39692	11.764515	19.861881	23.161454	23.697645	16.351561	7.342256	6.996426	12.085149	10.485088	6.717703	20.225856	13.309919	12.206576	12.046178	7.425541	7.110052	15.439413	10.946523	25.52276	10.028704	12.267573	19.738784	13.930177	3.701689	4.448531	0.720598	3.01009	3.91508	6.010145	6.240379	8.635399	5.312336	5.808054	7.888165
Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB	61.5240654	131.8340654	71.1986798	66.8830793	85.4195845	79.1469541	118.5691698	102.8444106	135.0973234	78.8124655	125.5548193	118.6679444	89.1373182	78.2702162	100.5720318	103.5204354	82.669079	72.8040128	60.8183726	85.8562292	57.243962	75.05841786	72.9723242	82.348448	70.299805	83.8546692	95.881234	123.0628865	124.4500083	65.6621971	94.0585285	47.8835076	87.8020581	60.1157171	87.2953615
Na(+)/H(+) antiporter subunit C1	90.6943811	70.2052582	52.8517744	54.9622604	59.6056273	62.2956048	104.241529	93.2071069	68.4109464	62.3921844	74.75098249	95.159881	73.7362904	65.9889758	76.2387206	58.2718878	57.7922697	54.2783733	57.1083288	71.9099487	56.8873395	67.11374272	73.396476	71.3348134	52.900602	68.8618586	68.0500018	69.3090045	87.5020409	44.41831084	67.1322595	31.6267195	51.6769674	44.1580434	76.6019134
putative ABC transporter ATP-binding protein YheS	118.7875305	62.982552	54.502316	66.628305	69.9578707	66.8604506	55.63766291	48.3558239	60.6492788	49.9501593	43.6008205	47.168024	62.789394	54.9706198	44.32108582	47.8743107	63.8912244	55.0974759	39.8479872	70.1885145	35.4043562	55.6794314	63.236421	37.46336223	33.1079433	24.1449848	19.919028	21.846466	20.335074	24.2168382	35.6448387	44.3702514	56.3970814	24.8943261	30.890696
Carboxylesterase	0.0	4.14698	0.0	0.0	0.134765	0.0	4.258652	1.801012	2.84892	0.559996	0.348764	1.32391	1.350062	1.616025	0.99011	0.0	0.472039	0.148117	1.29749	0.150109	1.38923	0.0	1.403965	2.007354	0.0	0.35733	0.287397	0.292574	0.333634	2.583547	1.068559	1.763424	0.640764	0.0	1.67245
Thymidylate synthase 2	7.808638	9.8657183	21.6616907	22.664855	18.905262	21.242904	18.6098027	18.493433	10.3301165	35.2212747	48.3092403	33.7756507	33.302754	32.5510815	8.9072111	32.887868	17.818766	15.546374	14.0231887	11.950401	15.44711	14.5557732	29.6554094	34.0588018	20.1185222	11.5894152	28.5179794	26.526771	19.1937791	12.094298	29.984721	11.977158	24.881172	20.1059367	30.856422
Thymidylate synthase 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46827	0.34237	0.0	0.14768	0.0	0.840209	0.0	0.0	7.92075	0.0
Serine protease Do-like HtrB	80.0131485	73.6227078	55.23455	60.321264	48.5308005	47.4974811	88.6795744	73.9845492	66.005732	60.6989853	57.8805434	78.60713	54.4507028	68.1854764	60.8987642	58.2666762	44.6579573	42.5740995	41.2218967	57.9145278	29.8286344	35.7735555	66.398949	70.4111936	51.118359	56.3807951	56.3964652	50.5505135	81.756439	35.5386906	46.2746445	31.3569558	45.7659344	37.07198	76.3537808
Serine protease Do-like HtrA	156.4903435	67.9564009	56.857824	66.5190877	68.9714919	64.025952	61.3004954	46.5717594	66.1579215	35.7397419	44.6029915	46.9398628	52.0800502	45.0945541	47.515488	26.8202423	39.2210454	98.2573199	42.4459121	90.5594187	44.7214926	97.1306661	51.4644987	49.2994486	33.3546131	24.296959	34.4618903	47.5668068	38.583921	15.6399131	21.8343161	30.0255685	25.1386529	26.8906885	23.2651515
30S ribosomal protein S16	25.4878162	56.6394213	68.652997	102.626237	73.2960644	61.754607	60.1260154	47.2761214	55.8441863	58.7866381	58.9658388	71.766345	93.122293	65.0663981	31.9469209	79.25163	84.723556	32.1120409	48.4210953	43.326471	36.637087	30.384102	67.8524912	75.990937	35.876953	38.625559	40.414275	47.880421	36.6224548	61.373846	77.842146	59.330402	60.741432	80.867377	40.3078863
30S ribosomal protein S17	294.7686086	284.8217656	271.5247356	285.2707911	294.5214368	286.1924644	301.2103558	275.9267483	291.845028	267.7719397	278.9215303	256.0299952	291.9284112	290.33112442	293.6435259	290.3227487	309.0515874	262.5026525	245.2175616	277.7985368	216.9177083	300.3748095	246.7445683	297.9161363	209.2979752	225.3964427	256.1727057	284.6221435	257.1421868	255.5215873	281.1978658	287.0106484	233.6749214	274.3902749	197.3155491
30S ribosomal protein S14	0.733326	4.1886068	4.032285	2.299488	2.0536306	2.2497459	7.558478	5.6113543	3.2265563	4.5692266	4.9005981	2.064331	5.447181	4.9294856	3.0664959	16.655563	12.858122	2.267643	3.22671	4.3069939	3.019207	1.0189365	6.09079	3.6340044	4.573493	7.979696	9.592626	4.477592	7.4618	12.478289	11.032938	8.029362	15.465209	5.570999	2.43257
30S ribosomal protein S15	39.8040448	61.4559503	109.4115684	96.001127	84.3372818	78.0515549	56.701254	59.847398	58.454297	120.2933107	115.9628707	66.4224411	113.6816805	108.4648067	57.449221	125.450294	138.973612	62.664618	63.270576	59.027186	62.8808926	63.8107111	79.4641788	93.0070371	72.6915371	71.8068082	72.424823	75.5337838	61.2445515	147.785356	134.752919	154.476117	115.68005	130.1682415	71.3279103
30S ribosomal protein S12	147.1927387	100.4020803	111.2887814	110.1165415	113.9192177	118.6952525	108.5735443	103.0243796	102.5277273	82.5320673	100.7596284	96.1093294	101.9792645	89.59421298	95.6510962	116.8143079	102.701206	123.0682719	60.9580513	140.890242	70.6569402	138.7559231	129.8745705	107.5012465	89.4431803	154.7732428	150.9436253	92.6809813	109.3773011	70.4943616	124.2657499	84.2344736	94.5101318	86.7471337	71.7787855
30S ribosomal protein S13	292.2575826	191.487885	215.2798591	220.6561804	237.2735537	224.5696453	242.3902401	235.070961	197.4487255	238.9836619	234.0271632	219.6368732	239.5007125	233.1218138	218.4079148	225.6559946	260.644149	254.0049735	200.1847457	262.4993436	158.6665995	269.65330422	223.2499474	247.0679833	190.780412	175.1255412	195.6060036	176.0532209	184.4881129	221.6137968	199.5293393	240.1819842	196.8911921	196.5071558	154.3425533
Fructose-bisphosphate aldolase class 1	46.7366401	80.02381	135.124938	150.606293	119.3402155	98.5467146	83.0220109	68.8536125	67.5206908	100.0189582	94.9449158	98.0743	123.6838804	120.056949	47.3189064	110.035263	109.4418967	68.0996366	62.7081625	67.679246	53.5621042	72.6564411	109.4910149	115.4197364	88.0311217	62.8113395	58.6678255	55.1836164	59.521638	76.6088967	93.2046356	120.1052608	98.013882	71.3170163013	64.4790019
30S ribosomal protein S11	344.3043368	275.6625349	229.384121	245.3043918	269.818024	261.3406716	261.8671735	253.8194863	295.8457626	242.5231258	252.9293905	226.8798784	261.3148274	260.8298068	264.3175555	245.4881206	280.1226036	279.7802869	260.4713172	266.5217495	225.1264253	302.5784745	219.777123	262.0761927	215.8869934	256.3645737	212.6407419	241.5298148	213.8507063	244.3987977	242.6493225	223.9302358	218.2853651	242.6891878	186.3730958
FMN-dependent NADPH-azoreductase	508.1522493	338.4880417	267.6089705	308.3337841	312.7823497	312.9926612	358.9351498	344.345519	376.7860698	243.3524381	250.1982235	358.0128637	284.2026598	296.1095585	379.5717439	250.8334619	239.8743394	399.3157269	236.623527	458.4574193	245.3013521	356.059327	384.219434	312.7298157	244.9853937	250.6193683	297.6462657	273.0104868	305.4244002	160.8618786	160.0413234	202.215489	199.3080425	201.5023451	249.8713195
30S ribosomal protein S18	29.1072244	58.6091158	112.5791448	115.810277	88.1675786	80.7135539	67.6977775	61.5321473	63.3872653	84.3237199	70.051212	69.7569833	110.563581	94.8714494	43.1335059	100.4971766	109.834657	51.56566	60.9392583	64.0100019	55.2253699	41.4351405	77.256392	91.6475402	65.0928188	59.9261557	48.426466	65.6146798	55.7753999	95.049175	100.223175	102.1724788	93.2179746	95.0869367	58.9420682
30S ribosomal protein S19	273.8972079	263.6668887	222.7852798	263.6133534	234.3907058	238.4610135	272.4642964	248.021298	272.2189327	209.6582411	203.1648431	257.6997342	269.2787434	258.54043392	248.8112352	225.3262122	211.4658772	220.5038772	197.7521647	261.2405348	162.3131044	251.9132975	228.5279956	264.2396401	170.78785917	171.2737424	181.0527979	214.5337715	202.5244243	195.97989001	205.56272325	194.5657031	194.6561152	194.2928589	173.8311913
Antibiotic efflux pump membrane transporter ArpB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85177	0.0	0.0	0.0	0.0	0.0	0.774205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66657	3.26521	2.75426	0.416394	0.580202	0.0	2.49809	0.0	0.676717	2.4968	0.0
tRNA-Gly(gcc)	226.7294397	317.14255919	260.4847438	288.9180857	261.1082404	263.9806285	333.57461741	298.3050788	305.8330484	349.4914059	299.3149756	372.770184	400.9311428	382.8013829	286.72683922	337.2408435	294.0402756	199.7817518	247.8810775	194.4940444	230.1990739	265.6107152	309.3277381	342.08087083	248.1124526	259.2481946	294.8039708	319.84906677	347.5473465	226.06067111	342.5160712	208.7151308	332.0897849	227.8874759	253.3694358
Exodeoxyribonuclease III	8.40038	19.6031	35.6568	60.5146	30.477	26.0858	22.2258	14.9662	18.081607	20.351244	10.366186	32.9008	38.188457	24.3678	5.42052	28.11264	26.344957	6.60206	16.9721	13.2505	12.2166	2.53731	24.5295	34.1516	8.5241088	13.69914	5.352234	14.635512	12.051533	12.869596	9.78159	18.685772	8.60229	18.8142653	12.095052
DNA polymerase IV 1	100.317807	97.9486832	114.3404594	113.0354373	99.8251582	112.7921878	78.510619	67.108589	111.5157938	44.8864204	50.7013274	59.4824264	75.2918494	56.0232762	71.0904074	80.0458476	78.045664	117.2390937	70.3977014	124.658585	55.9318061	113.5804568	63.5609053	66.4041405	67.3599179	50.8078791	58.7131017	61.223697	35.391619	88.5388075	73.9929885	72.4746636	73.0340982	62.2301708	78.7316443
3-oxoadipyl-CoA/3-oxo-5%2C6-dehydrosuberyl-CoA thiolase	6.8054854	23.97016	25.6778627	10.0326725	11.1575007	17.1845537	33.8324452	31.1610342	22.641032	21.1743397	37.7860465	35.5304953	18.8550938	19.250521	37.7030235	16.1173826	17.6272626	15.315509	20.6925153	12.5449355	19.6844351	10.7465501	18.046324	19.9485468	20.975194	21.5700967	38.3550403	26.8682103	39.5008693	10.8509651	32.2674346	16.7262928	22.3027327	12.4831962	17.3208296
Phenylalanine--tRNA ligase beta subunit	331.0336754	259.3896604	243.820347	265.9954593	288.3840603	313.7784632	256.3774419	255.572727067	260.9835676	252.567196	252.54857447	272.19981048	281.0457239	240.98015486	284.7197458	269.6787814	253.628971	294.5185935	211.4291308	324.4408372	198.3512976	312.96412706	275.126024964	263.7073997	223.7536961	252.3577245	229.2762616	254.3075706	266.6411997	179.27541869	232.2046149	207.92435728	200.8695915	209.8208056	183.97317453
Cinnamoyl-CoA:phenyllactate CoA-transferase	34.3795	7.41861	6.688194	3.72996	13.364124	20.395768	14.953704	22.085753	10.653362	2.134114	7.643562	5.228244	2.89841	4.438723	18.868117	16.540756	14.502007	14.451089	65.28865	10.01938	57.752122	22.114015	5.781584	4.157771	27.042836	20.809849	22.714435	21.84726	29.87469	22.732695	20.762257	11.70867	4.56886	13.559126	8.835518
2-dehydro-3-deoxy-phosphogluconate aldolase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64368	0.0	3.10814	1.53021	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glucosylglycerol-phosphate phosphatase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0126273	0.0	0.0	0.0	0.0214352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0889116	9.80019	0.47574	0.0	5.80246	0.0663972	0.0	1.54352	0.0	0.0618501	0.0
sn-glycerol-3-phosphate import ATP-binding protein UgpC	886.1273517	782.9869127	748.2128627	787.9521913	717.8893152	680.3396689	866.012	748.8684712	782.7521125	647.3461281	726.9445614	729.7764253	742.2163248	745.9409706	764.8861704	691.1156127	687.6092982	731.8457586	577.8966569	754.6941553	546.8926679	667.89205638	611.0205092	759.4431756	624.5878989	597.1419731	611.6830658	756.1280882	650.9509058	568.8949597	599.5496439	560.9113312	566.538111	649.4535768	660.0890768
Acireductone dioxygenase	0.458648	3.476694	1.261501	0.7813839	0.164698	0.704034	0.855049	0.89006	6.648708	0.976643	4.2436381	0.501465	3.3646446	1.722618	0.862943	6.5642	28.3315142	2.1812932	1.14465	0.966007	1.40065	0.5769452	0.5372469	2.49323	7.7165	9.9317724	9.105209	7.946951	10.4766596	5.30194	7.517728	2.7988137	9.192313	6.35921	4.30699
Catecholate siderophore receptor Fiu	0.0	0.294276	0.0	0.0	0.0	0.0	0.15882	0.296083	0.0	0.311779	0.333277	2.16736	0.836789	0.85595	0.378393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23393	0.149643	0.0	0.0	0.606332	0.0	0.0	0.0	0.594926	4.45986	0.0	0.275157	1.43764
Copper-sensing transcriptional repressor RicR	6.60069	27.87135	33.91025	63.45176	32.7828	28.095	26.5342	14.3306	21.5199	17.4343	10.4813	36.8239	38.0962	25.7482	5.70267	25.4574	25.5643	8.93873	16.7928	13.865	11.2861	2.914747	29.0457	36.1215	8.13606	4.01656	3.24964	13.2978	5.46486	13.815	11.7501	17.6194	7.9016	19.075641	11.3325
Sialic acid TRAP transporter permease protein SiaT	20.725807	28.1803111	30.538262	50.572788	23.5688125	30.9692192	40.527145	34.902423	30.126306	24.360855	29.6021897	39.2493035	36.1437566	36.3659833	19.874843	27.9189891	34.5290809	23.177149	27.4343497	36.773782	24.8236039	21.2766099	54.2899311	35.791681	29.989833	40.3293025	41.0309066	35.659625	42.8584311	21.9225842	47.1984202	30.1088264	28.9535971	30.4195993	33.7593142
34 kDa membrane antigen	2.78273	1.420392	4.91327	4.926406	7.904882	4.379935	1.44824	1.08483	2.947628	5.90674	9.5179503	1.10697001066	7.580297	6.61766	1.7313725	9.576024	30.00713	3.805861	2.79919	0.533057	6.38734	2.80637	6.436609	5.96669	0.96137	12.37076	6.395574	3.589603	11.163938	22.78123	8.2296563	4.30336	5.314715	42.3867	3.5161466
Cbb3-type cytochrome c oxidase subunit CcoP	0.0	0.0	0.0	0.481912	0.327195	0.372566	1.28224	1.19535	0.0	0.321868	0.0	0.0	0.284213	0.0	0.0	1.41419	1.13392	0.364526	0.0	0.727354	0.0	0.148006	0.252591	0.613729	0.0	0.265828	0.0	0.613758	0.0	0.606861	0.614199	0.972296	0.334839	0.282103	0.0
Creatinine amidohydrolase	162.2953889	100.5305741	86.7188326	120.6476572	113.330302	99.3917608	106.4643679	95.0167985	101.6026946	91.821458	70.0744696	105.6732091	94.5047891	95.6951535	95.9269402	90.290656	86.0619557	114.7967281	82.0705276	129.9466129	69.1932772	92.4720991	108.5673951	100.7543378	76.2648085	92.1301709	68.2819158	71.5695017	88.0684803	47.6249878	81.1904967	65.7370097	67.9289236	68.8078136	67.6069351
5'-3' exonuclease	0.22671	1.55748	0.72174	0.782732	0.581998	0.661504	1.01341	1.27877	1.57218	1.39548	0.816051	0.471659	1.24898	0.42668	0.332447	3.26873	2.2142	0.717818	0.70391	1.00784	0.800103	0.662635	1.78275	1.27497	2.32842	4.08267	0.556205	0.602296	1.9336	6.0061	2.9204	4.05628	2.81999	1.7051	0.2014
STAS-domain containing protein	0.176148	0.110111	0.818536	0.804709	0.297703	1.15056	0.151253	0.0563903	0.181473	0.320893	0.443443	0.577072	1.00181	0.644733	0.107567	1.29036	1.71318	0.324809	0.118128	0.398379	0.0833613	0.307438	0.441636	0.450411	0.297761	0.24551	0.113789	0.66904	0.123537	0.722478	0.80712	0.569692	0.924449	0.362357	0.150481
Oxygen sensor histidine kinase NreB	45.719522	50.3441848	84.398641	91.1149645	86.392294	76.22538	66.3057677	70.5206967	50.6961468	148.783202	138.79419	83.1333901	103.3357961	113.785489	59.7436873	138.268217	147.976305	71.7802347	68.3587817	49.209886	59.4650973	72.2166071	85.765154	127.835501	113.5558717	90.6934282	94.465729	78.4800298	74.5000622	160.017837	155.841514	238.6659618	129.5259573	197.13424	81.1892273
Cell division inhibitor SulA	0.0	1.4905747	1.319848	1.07474	1.64888	2.8296	3.827	2.916998	1.6727946	3.7538018	1.1007138	1.826747	4.270768	3.3810422	2.97096	8.16922	3.903659	0.859557	1.512398	1.7133195	1.972831	0.32243	4.679655	4.757643	4.233957	2.604716	7.011675	3.002818	5.26868	0.655136	7.021918	2.426796	11.136069	0.901774	1.8897595
Aklanonic acid methyl ester cyclase DauD	0.414641	3.712333	3.593342	2.018595	2.061708	2.553116	5.763513	7.08174	2.917234	5.380395	14.6961596	6.560047	5.60345	6.302283	1.790627	37.558143	8.525998	2.170262	3.612057	2.158257	3.24857	1.831395	2.599612	9.65485	44.211493	52.9547	43.3572595	80.715026	46.444597	11.251679	27.096471	12.409928	50.047936	16.698369	5.070775
Sensor histidine kinase CpxA	113.5872076	59.287571	85.6310872	73.809918	77.6194847	89.5864037	63.142831	78.820315	53.0962438	59.8525011	61.5427195	95.889652	76.74541	78.4279449	85.804038	63.2959373	48.6822509	57.1867172	56.32813	65.3505938	54.2714954	64.8296406	63.9969596	86.2327964	71.4202632	67.7801857	78.1218575	66.4886837	95.1749002	29.3342839	54.8420767	28.6136377	44.8912481	65.934802	109.7899229
Demethyldecarbamoylnovobiocin O-methyltransferase	19.61909	54.43326	72.57203	137.7682	72.87492	61.9237	80.4025	52.987305	46.694019	39.289652	21.910965	77.081082	80.712021	53.8983	21.7853	49.82654	49.27155	16.63492	38.05784	36.2333	26.53752	6.278428	62.931288	78.0399	27.123695	7.806399	9.7864	28.68608	13.330883	25.85382	26.529239	32.73442	16.599395	43.580045	34.70369
putative FAD-linked oxidoreductase YvdP	5.124633	37.256032	7.573229	6.9242789	12.6866371	8.2951481	11.949735	12.436952	40.10979	12.047778	24.527018	11.675168	8.837151	11.448075	13.442179	12.131443	6.122461	8.593687	7.07004	7.7664081	5.470727	5.0955706	7.635765	12.05482	15.735415	8.902192	10.691022	25.903247	25.447234	6.173309	9.522441	6.019799	10.335003	8.616172	14.132178
Osmoprotectant import ATP-binding protein OsmV	61.2385944	29.518724	18.396316	26.7524494	28.8484792	25.373141	37.503492	32.0850743	36.6599406	19.4454504	9.486802	15.42222	19.8240065	15.080244	24.993526	11.060036	18.643701	28.542805	29.800605	39.0296939	23.734227	20.8898183	17.0515306	16.4921196	12.543701	9.3842322	6.3209654	15.1916	13.703603	7.428495	8.1608531	15.043129	7.690157	6.548899	4.996252
3-oxoadipate CoA-transferase subunit A	8.4073254	16.082333	19.180056	9.4209758	12.657494	12.4419781	12.7960821	12.076083	15.747096	10.5694252	11.237269	21.1699091	7.5934797	6.9957141	18.8212449	19.224955	14.903347	14.9109587	21.4752578	5.007998	26.792376	19.076268	26.1329803	10.3946065	27.2777557	23.3321129	25.9923743	34.8357733	29.070293	14.7060754	12.6672333	9.0812037	19.0149169	21.5382477	24.12398
3-oxoadipate CoA-transferase subunit B	9.2574443	12.3213478	9.6433197	6.4347292	9.2527877	12.310261	9.2559998	9.0244174	9.2602661	5.753231	7.1963635	12.2545191	5.9694833	4.5478971	14.6854509	13.56599	13.739871	9.8953369	17.6804443	7.4474812	23.652723	13.7216681	15.8184228	6.9830725	23.001125	19.106139	20.459207	35.4611213	28.671121	9.859227	11.3854243	7.6172175	14.4073379	13.4706606	8.8119903
UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase	18.3397739	40.8202266	34.4001799	25.3565875	28.0762032	47.9237659	73.9651475	78.7997979	44.9027952	38.0140877	63.8905959	57.4387541	49.8294618	42.7835378	45.3707584	61.5580238	35.193896	26.6632718	48.0232876	33.6142289	56.833023	40.5124152	36.978877	50.1531344	66.9483175	63.2005951	48.8298036	66.389461	81.0509717	38.7339769	57.6170942	32.3949742	60.3335743	71.9105696	61.372507
D-galactonate dehydratase family member	345.5906578	229.1580044	178.734704	223.817065	191.3215737	188.3902027	272.2510319	227.082093	225.0354347	166.5686559	183.7185125	176.9916126	215.9437218	202.8424782	263.5154253	185.0948215	168.141634	218.9974506	180.4604123	233.9139439	164.6441811	185.47803	161.1788429	213.3034301	178.4556403	169.8772896	180.4074693	157.9605632	184.6921024	120.1264763	165.6665834	132.5563574	138.0051904	156.6121929	183.9180303
Multidrug efflux protein YfmO	47.0929	0.218296	3.52373	5.94761	10.09962	6.754684	1.723	1.3829	0.287611	0.879051	0.400343	2.85165	1.71192	4.184215	1.879909	0.2418562	0.0553831	8.710837	2.60329	13.89075	1.49901	5.01064	6.864297	4.691204	0.0472139	0.18763	0.0450989	0.4750835	0.0	0.0	1.29257	0.278092	0.142029	0.0	6.827693
Vancomycin B-type resistance protein VanW	0.0	0.187741	1.59504	0.0	1.21508	1.15214	0.201432	0.187767	0.204808	0.397784	0.704977	0.920392	1.41865	0.467037	0.240361	0.176746	0.942233	0.223639	0.0	0.676208	0.570833	0.186048	0.785397	0.57175	0.810342	0.165561	0.386421	0.379621	0.499524	0.941575	0.569282	0.299719	0.821531	0.700858	3.25333
Glycosyl hydrolase family 109 protein 1	2.025358	3.169378	6.689802	4.749603	4.137771	2.771554	1.470093	2.140496	2.513701	2.567475	2.041688	3.051973	2.988233	2.041933	1.61106	4.417492	1.99476	1.885154	1.52595	2.044045	2.070033	1.952727	5.250614	2.358109	0.200123	1.434008	0.886753	0.428819	1.177574	1.345823	1.91765	1.269209	1.231579	2.813682	2.06233
putative crotonobetaine/carnitine-CoA ligase	35.665192	23.6487968	41.2965214	27.9643103	38.04652421	31.7559249	15.2805753	22.2149381	20.3900088	19.4956998	24.7335201	17.618293	8.9505585	9.785795	20.3664132	17.2965723	11.3824596	44.27345213	50.2301532	54.287633	55.3571395	38.8623611	13.4677916	11.8080297	14.9826589	13.2807354	19.830613	12.2193041	18.1287121	10.5659521	12.9436209	9.4894967	15.6596888	7.8909684	25.5100299
Flagellin	0.0	0.0	0.0	1.42845	2.951148	1.19833	4.506415	1.87555	0.325823	0.63584	1.221725	2.821543	2.42929	2.089362	0.0	2.250273	0.373438	1.677962	0.704188	0.582923	0.0	0.14627	3.092763	0.94119	1.581077	1.311667	1.193376	1.532519	0.424747	3.253795	2.637537	1.350127	2.80459	0.0	0.322966
Toluene 1%2C2-dioxygenase system ferredoxin subunit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.361714	0.0	0.0	0.0	0.0	0.69078	0.304961	0.0	1.03024	0.459634	0.0	0.0	0.0	0.0	0.0	0.307545	0.0	0.0	0.323381	0.0	0.0	0.0	0.73975	0.0	0.0	0.0	0.343722	0.0
Inosose isomerase	32.6607462	45.683928	43.1553581	51.0938443	51.2173766	45.4791572	50.893869	40.8282877	46.616764	77.2068069	22.7341166	37.21128	42.708082	44.2503922	53.6075902	30.595942	31.696846	41.371337	34.4039917	35.3583991	38.4477301	41.9523611	44.17416	46.609549	17.920317	23.9244927	17.5638827	23.276422	17.890304	18.2737359	20.984856	27.308229	16.152101	20.2758309	23.5937106
Bifunctional protein pyrR	23.288912	33.880345	55.0978	36.83792	38.915477	30.431296	38.562821	39.672785	33.769596	87.060948	108.551552	38.216611	87.66117	94.207908	35.937975	104.672304	111.142114	25.062958	43.275754	25.488112	44.469666	40.047558	49.3501576	69.931121	57.874293	58.237968	57.933409	62.0272884	48.9684003	114.997484	117.477401	121.059165	90.116227	99.002055	51.500499
Autotransporter adhesin EhaG	5.62632	3.192244	4.74325	4.28394	2.814562	3.366196	2.187407	3.345383	4.369082	107.491298	36.078049	5.430548	9.303287	9.590132	3.12044	4.537778	5.187926	9.92606	31.323591	10.618798	36.436625	8.55088	2.7343	8.2386799	0.884596	6.7498347	9.351178	2.7842659	2.6337466	5.8139651	6.0257278	5.109006	3.482805	6.775338	7.3528312
Putative acyl-CoA dehydrogenase FadE17	62.146049	20.8536921	36.886639	39.093108	34.04047	35.263356	41.1903856	28.0739494	29.5324319	16.8777312	18.0789462	26.809404	18.81825	16.2987703	19.8534242	8.0798851	17.3710856	36.97647	35.7559923	35.1141675	28.616938	25.2008222	21.8309894	11.2249349	9.346091	15.2055217	10.968377	11.053363	14.8028059	8.3916414	10.6339054	18.7572411	18.174393	11.3735496	40.006762
Molybdenum cofactor cytidylyltransferase	1.567012	6.052775	1.912181	1.088883	0.759368	1.193536	5.314724	5.908158	6.640171	14.886105	35.222064	11.953574	12.411318	12.262481	13.324825	23.54149	15.96109	0.920175	2.872698	2.1736895	2.525367	2.2194456	7.1164996	13.916087	15.970616	11.710439	12.077009	57.063916	27.995927	10.465866	11.817715	6.955053	16.23906	16.37624	12.752508
Phospho-2-dehydro-3-deoxyheptonate aldolase%2C Phe-sensitive	0.0	2.02203	1.45271	1.551	4.39052	7.53169	10.8995	8.31534	1.08708	8.69338	2.884182	1.22132	6.38271	10.643	2.44377	6.76185	1.74234	1.2764	0.93826	1.20699	6.34547	2.74129	4.9282	6.04453	4.076732	1.873748	2.46422	4.216777	0.185417	0.986116	3.73834	1.6482	5.477817	1.9482779	5.920001
Apocarotenoid-15%2C15'-oxygenase	342.8123323	263.5306297	208.0004256	257.6639432	241.459062	221.7387342	254.1073764	226.6392262	250.2903226	189.462632	214.6992025	249.8885371	216.5632443	234.7229035	248.963261	228.1948286	213.2864628	254.037442562	199.3472824	282.763990835	171.4808191	225.4155847	246.8485664	260.8155572	175.8657833	208.6729204	213.0406696	293.0073212	254.9478102	140.21485707	243.7292327	164.9601237	187.7829369	203.68728724	127.8124926
putative oxidoreductase/MSMEI_2347	523.3105719	431.442392	291.4886844	350.4240477	320.7318992	308.8374176	413.1558161	356.7206625	412.8091795	265.1797901	289.8601379	353.439337	332.2835666	327.9726796	472.1091368	265.5314742	242.7987936	401.8457097	276.4233265	418.5706664	246.7788375	336.2434383	358.6912578	343.0916757	240.1248195	277.1864874	246.7771775	380.1682392	313.9493398	137.68309397	219.46275907	176.8628518	216.7523186	216.79763894	261.2463046
putative oxidoreductase/MSMEI_2346	9.9252491	5.6385492	8.5382445	7.804114	5.9136526	11.1952302	6.883136	6.1590728	9.6917762	5.380139	12.2871265	12.011509	12.7757597	12.556692	7.923778	6.373916	2.5161124	6.888013	5.717471	4.5815386	4.7719285	9.6750333	8.6688432	13.08313	5.45249	4.2651854	5.4043072	6.4342481	7.262844	3.2901193	4.704977	3.2557709	4.539324	7.2136539	13.6672157
